Structure,Corner,ShapeColor,Width,Space,Rsh,Ctotal,Cc,Cbottom
M3,typical,single,0.020,0.020,0.320,0.280,0.120,0.090
M3,typical,single,0.020,0.025,0.320,0.265,0.105,0.085
M3,typical,single,0.020,0.030,0.320,0.255,0.095,0.082
M3,typical,single,0.025,0.020,0.285,0.295,0.135,0.095
M3,typical,single,0.025,0.025,0.285,0.275,0.115,0.088
M3,typical,single,0.025,0.030,0.285,0.262,0.102,0.085
M3,typical,single,0.030,0.020,0.265,0.310,0.148,0.100
M3,typical,single,0.030,0.025,0.265,0.288,0.125,0.092
M3,typical,single,0.030,0.030,0.265,0.272,0.110,0.088
M3,typical,single,0.035,0.020,0.252,0.322,0.158,0.105
M3,typical,single,0.035,0.025,0.252,0.298,0.132,0.096
M3,typical,single,0.035,0.030,0.252,0.280,0.115,0.090
M3,typical,single,0.040,0.020,0.245,0.332,0.165,0.108
M3,typical,single,0.040,0.025,0.245,0.305,0.138,0.098
M3,typical,single,0.040,0.030,0.245,0.285,0.118,0.092
M3,typical,ABA,0.020,0.020,0.320,0.520,0.280,0.160
M3,typical,ABA,0.020,0.025,0.320,0.490,0.250,0.150
M3,typical,ABA,0.020,0.030,0.320,0.470,0.225,0.145
M3,typical,ABA,0.025,0.020,0.285,0.545,0.310,0.175
M3,typical,ABA,0.025,0.025,0.285,0.510,0.275,0.162
M3,typical,ABA,0.025,0.030,0.285,0.485,0.245,0.155
M3,typical,ABA,0.030,0.020,0.265,0.570,0.335,0.185
M3,typical,ABA,0.030,0.025,0.265,0.530,0.295,0.170
M3,typical,ABA,0.030,0.030,0.265,0.500,0.260,0.160
M3,typical,ABA,0.035,0.020,0.252,0.590,0.355,0.195
M3,typical,ABA,0.035,0.025,0.252,0.545,0.310,0.178
M3,typical,ABA,0.035,0.030,0.252,0.512,0.270,0.165
M3,typical,ABA,0.040,0.020,0.245,0.605,0.370,0.200
M3,typical,ABA,0.040,0.025,0.245,0.555,0.320,0.182
M3,typical,ABA,0.040,0.030,0.245,0.520,0.278,0.168
M3,typical,BAB,0.020,0.020,0.320,0.515,0.275,0.158
M3,typical,BAB,0.020,0.025,0.320,0.485,0.245,0.148
M3,typical,BAB,0.020,0.030,0.320,0.465,0.220,0.143
M3,typical,BAB,0.025,0.020,0.285,0.540,0.305,0.172
M3,typical,BAB,0.025,0.025,0.285,0.505,0.270,0.160
M3,typical,BAB,0.025,0.030,0.285,0.480,0.240,0.152
M3,typical,BAB,0.030,0.020,0.265,0.565,0.330,0.182
M3,typical,BAB,0.030,0.025,0.265,0.525,0.290,0.167
M3,typical,BAB,0.030,0.030,0.265,0.495,0.255,0.158
M3,typical,BAB,0.035,0.020,0.252,0.585,0.350,0.192
M3,typical,BAB,0.035,0.025,0.252,0.540,0.305,0.175
M3,typical,BAB,0.035,0.030,0.252,0.508,0.265,0.162
M3,typical,BAB,0.040,0.020,0.245,0.600,0.365,0.197
M3,typical,BAB,0.040,0.025,0.245,0.550,0.315,0.180
M3,typical,BAB,0.040,0.030,0.245,0.515,0.273,0.165
M4,typical,single,0.020,0.020,0.180,0.240,0.095,0.080
M4,typical,single,0.020,0.025,0.180,0.228,0.082,0.076
M4,typical,single,0.020,0.030,0.180,0.220,0.075,0.073
M4,typical,single,0.025,0.020,0.165,0.255,0.108,0.085
M4,typical,single,0.025,0.025,0.165,0.238,0.092,0.080
M4,typical,single,0.025,0.030,0.165,0.228,0.082,0.077
M4,typical,single,0.030,0.020,0.155,0.268,0.118,0.088
M4,typical,single,0.030,0.025,0.155,0.250,0.100,0.083
M4,typical,single,0.030,0.030,0.155,0.238,0.088,0.079
M4,typical,single,0.035,0.020,0.148,0.278,0.125,0.092
M4,typical,single,0.035,0.025,0.148,0.258,0.105,0.086
M4,typical,single,0.035,0.030,0.148,0.245,0.092,0.082
M4,typical,single,0.040,0.020,0.142,0.288,0.132,0.095
M4,typical,single,0.040,0.025,0.142,0.265,0.110,0.088
M4,typical,single,0.040,0.030,0.142,0.250,0.095,0.084
M4,typical,ABA,0.020,0.020,0.180,0.445,0.225,0.145
M4,typical,ABA,0.020,0.025,0.180,0.420,0.200,0.138
M4,typical,ABA,0.020,0.030,0.180,0.402,0.180,0.132
M4,typical,ABA,0.025,0.020,0.165,0.470,0.250,0.158
M4,typical,ABA,0.025,0.025,0.165,0.440,0.220,0.148
M4,typical,ABA,0.025,0.030,0.165,0.418,0.195,0.140
M4,typical,ABA,0.030,0.020,0.155,0.492,0.270,0.168
M4,typical,ABA,0.030,0.025,0.155,0.458,0.235,0.155
M4,typical,ABA,0.030,0.030,0.155,0.432,0.208,0.148
M4,typical,ABA,0.035,0.020,0.148,0.508,0.285,0.175
M4,typical,ABA,0.035,0.025,0.148,0.472,0.248,0.162
M4,typical,ABA,0.035,0.030,0.148,0.445,0.218,0.152
M4,typical,ABA,0.040,0.020,0.142,0.522,0.298,0.182
M4,typical,ABA,0.040,0.025,0.142,0.482,0.258,0.168
M4,typical,ABA,0.040,0.030,0.142,0.452,0.225,0.158
M4,typical,BAB,0.020,0.020,0.180,0.440,0.220,0.143
M4,typical,BAB,0.020,0.025,0.180,0.415,0.195,0.136
M4,typical,BAB,0.020,0.030,0.180,0.398,0.175,0.130
M4,typical,BAB,0.025,0.020,0.165,0.465,0.245,0.155
M4,typical,BAB,0.025,0.025,0.165,0.435,0.215,0.145
M4,typical,BAB,0.025,0.030,0.165,0.413,0.190,0.138
M4,typical,BAB,0.030,0.020,0.155,0.487,0.265,0.165
M4,typical,BAB,0.030,0.025,0.155,0.453,0.230,0.152
M4,typical,BAB,0.030,0.030,0.155,0.428,0.203,0.145
M4,typical,BAB,0.035,0.020,0.148,0.503,0.280,0.172
M4,typical,BAB,0.035,0.025,0.148,0.467,0.243,0.159
M4,typical,BAB,0.035,0.030,0.148,0.440,0.213,0.149
M4,typical,BAB,0.040,0.020,0.142,0.517,0.293,0.179
M4,typical,BAB,0.040,0.025,0.142,0.477,0.253,0.165
M4,typical,BAB,0.040,0.030,0.142,0.447,0.220,0.155
M3,fast,single,0.030,0.025,0.240,0.260,0.105,0.085
M4,fast,single,0.030,0.025,0.140,0.225,0.085,0.078
M3,slow,single,0.030,0.025,0.290,0.285,0.130,0.095
M4,slow,single,0.030,0.025,0.170,0.252,0.105,0.085
